iter	Passed	Remaining
0	41	41409
1	75	37914
2	99	33045
3	120	30038
4	141	28180
5	163	27060
6	183	26080
7	203	25266
8	225	24857
9	245	24261
10	264	23812
11	284	23434
12	307	23341
13	329	23216
14	353	23222
15	376	23130
16	397	22986
17	418	22833
18	439	22714
19	459	22499
20	478	22290
21	497	22131
22	517	21983
23	537	21851
24	556	21700
25	574	21532
26	593	21399
27	612	21257
28	630	21115
29	648	20984
30	668	20886
31	687	20783
32	707	20736
33	750	21308
34	773	21324
35	795	21311
36	818	21307
37	841	21298
38	862	21252
39	884	21220
40	906	21194
41	928	21172
42	949	21122
43	967	21027
44	986	20937
45	1007	20903
46	1026	20818
47	1046	20751
48	1063	20649
49	1083	20582
50	1102	20510
51	1120	20432
52	1139	20354
53	1162	20358
54	1187	20398
55	1215	20482
56	1241	20533
57	1265	20547
58	1286	20517
59	1304	20435
60	1322	20361
61	1340	20284
62	1360	20234
63	1382	20220
64	1403	20187
65	1425	20172
66	1448	20164
67	1467	20115
68	1487	20070
69	1506	20012
70	1524	19947
71	1542	19881
72	1560	19817
73	1578	19756
74	1597	19697
75	1615	19642
76	1635	19610
77	1656	19578
78	1675	19536
79	1694	19488
80	1712	19430
81	1731	19383
82	1750	19338
83	1768	19286
84	1787	19242
85	1805	19192
86	1825	19160
87	1845	19128
88	1863	19072
89	1881	19025
90	1900	18981
91	1919	18942
92	1937	18897
93	1957	18863
94	1976	18827
95	1995	18787
96	2013	18743
97	2031	18702
98	2049	18650
99	2069	18622
100	2096	18660
101	2114	18617
102	2132	18575
103	2150	18529
104	2168	18483
105	2186	18441
106	2204	18400
107	2223	18363
108	2242	18332
109	2261	18294
110	2279	18253
111	2297	18212
112	2315	18172
113	2333	18131
114	2351	18094
115	2369	18055
116	2387	18016
117	2406	17984
118	2424	17946
119	2443	17918
120	2462	17885
121	2480	17848
122	2498	17814
123	2516	17778
124	2536	17752
125	2555	17725
126	2574	17694
127	2592	17660
128	2611	17633
129	2630	17601
130	2648	17568
131	2666	17532
132	2684	17502
133	2702	17466
134	2721	17437
135	2739	17406
136	2758	17375
137	2776	17344
138	2795	17318
139	2813	17284
140	2832	17254
141	2849	17218
142	2868	17190
143	2886	17160
144	2904	17128
145	2922	17095
146	2940	17062
147	2958	17031
148	2976	16999
149	2993	16965
150	3012	16937
151	3030	16907
152	3049	16882
153	3067	16850
154	3085	16819
155	3102	16787
156	3121	16763
157	3139	16730
158	3157	16700
159	3176	16675
160	3193	16641
161	3211	16612
162	3229	16584
163	3247	16555
164	3266	16529
165	3284	16501
166	3302	16474
167	3320	16446
168	3339	16421
169	3358	16397
170	3376	16369
171	3394	16339
172	3412	16313
173	3430	16285
174	3451	16271
175	3476	16275
176	3502	16286
177	3528	16294
178	3548	16277
179	3568	16257
180	3586	16230
181	3604	16201
